"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"1",2020-08-08,"19.00","Standard Liège","1","0","0","0","Cercle Brugge","Aug","8",2020
"1",2020-08-09,"13.30","Sint-Truidense VV","2","1","1","1","KAA Gent","Aug","9",2020
"1",2020-08-09,"16.00","SV Zulte Waregem","1","2","1","0","KRC Genk","Aug","9",2020
"1",2020-08-09,"18.15","KV Mechelen","2","2","0","0","RSC Anderlecht","Aug","9",2020
"1",2020-08-09,"20.45","KV Kortrijk","1","3","0","1","Waasland-Beveren","Aug","9",2020
"1",2020-08-10,"19.00","KV Oostende","1","2","0","1","Beerschot VA","Aug","10",2020
"1",2020-08-10,"19.00","Oud-Heverlee Leuven","1","1","0","0","KAS Eupen","Aug","10",2020
"2",2020-08-14,"19.00","Royal Excel Mouscron","0","1","0","1","KV Mechelen","Aug","14",2020
"2",2020-08-15,"16.30","KRC Genk","1","1","0","0","Oud-Heverlee Leuven","Aug","15",2020
"2",2020-08-15,"19.00","Sporting Charleroi","1","0","0","0","KV Oostende","Aug","15",2020
"2",2020-08-15,"19.00","KAA Gent","1","2","0","1","KV Kortrijk","Aug","15",2020
"2",2020-08-16,"13.30","Cercle Brugge","2","1","0","1","Royal Antwerp FC","Aug","16",2020
"2",2020-08-16,"16.00","Beerschot VA","3","1","1","0","SV Zulte Waregem","Aug","16",2020
"2",2020-08-16,"16.00","KAS Eupen","0","4","0","1","Club Brugge","Aug","16",2020
"2",2020-08-16,"18.15","RSC Anderlecht","3","1","1","0","Sint-Truidense VV","Aug","16",2020
"2",2020-08-17,"19.00","Waasland-Beveren","1","2","0","0","Standard Liège","Aug","17",2020
"3",2020-08-21,"19.00","KV Kortrijk","0","0",NA,NA,"KAS Eupen","Aug","21",2020
"3",2020-08-22,"18.30","KV Mechelen","2","3","1","0","Cercle Brugge","Aug","22",2020
"3",2020-08-22,"16.15","SV Zulte Waregem","4","1","1","0","Waasland-Beveren","Aug","22",2020
"3",2020-08-22,"20.45","Royal Antwerp FC","1","0","1","0","KAA Gent","Aug","22",2020
"3",2020-08-22,"18.30","Oud-Heverlee Leuven","1","3","1","1","Sporting Charleroi","Aug","22",2020
"3",2020-08-23,"13.30","Standard Liège","0","0",NA,NA,"KRC Genk","Aug","23",2020
"3",2020-08-23,"16.00","Club Brugge","0","1","0","1","Beerschot VA","Aug","23",2020
"3",2020-08-23,"18.15","RSC Anderlecht","1","1","0","0","Royal Excel Mouscron","Aug","23",2020
"3",2020-08-24,"20.45","Sint-Truidense VV","0","0",NA,NA,"KV Oostende","Aug","24",2020
"4",2020-08-28,"20.45","KV Oostende","2","2","2","1","RSC Anderlecht","Aug","28",2020
"4",2020-08-29,"16.15","KAS Eupen","1","1","1","0","Sint-Truidense VV","Aug","29",2020
"4",2020-08-29,"20.45","Royal Excel Mouscron","0","1","0","0","SV Zulte Waregem","Aug","29",2020
"4",2020-08-29,"18.30","Waasland-Beveren","1","3","0","1","Oud-Heverlee Leuven","Aug","29",2020
"4",2020-08-29,"18.30","Cercle Brugge","0","1","0","0","KV Kortrijk","Aug","29",2020
