"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"1",2019-07-26,NA,"KRC Genk","2","1",NA,NA,"KV Kortrijk","Jul","26",2019
"1",2019-07-27,NA,"Cercle Brugge","0","2",NA,NA,"Standard Liège","Jul","27",2019
"1",2019-07-27,NA,"Sint-Truidense VV","0","1",NA,NA,"Royal Excel Mouscron","Jul","27",2019
"1",2019-07-27,NA,"Club Brugge","1","3",NA,NA,"Waasland-Beveren","Jul","27",2019
"1",2019-07-27,NA,"SV Zulte Waregem","0","2",NA,NA,"KV Mechelen","Jul","27",2019
"1",2019-07-28,NA,"RSC Anderlecht","1","2",NA,NA,"KV Oostende","Jul","28",2019
"1",2019-07-28,NA,"Sporting Charleroi","1","1",NA,NA,"KAA Gent","Jul","28",2019
"1",2019-07-28,NA,"KAS Eupen","1","4",NA,NA,"Royal Antwerp FC","Jul","28",2019
"2",2019-08-02,NA,"Sint-Truidense VV","6","0",NA,NA,"Club Brugge","Aug","2",2019
"2",2019-08-03,NA,"Standard Liège","4","0",NA,NA,"SV Zulte Waregem","Aug","3",2019
"2",2019-08-03,NA,"Sporting Charleroi","1","1",NA,NA,"KV Kortrijk","Aug","3",2019
"2",2019-08-03,NA,"KRC Genk","3","1",NA,NA,"KV Mechelen","Aug","3",2019
"2",2019-08-03,NA,"Cercle Brugge","3","1",NA,NA,"KV Oostende","Aug","3",2019
"2",2019-08-04,NA,"KAA Gent","6","1",NA,NA,"KAS Eupen","Aug","4",2019
"2",2019-08-04,NA,"Royal Excel Mouscron","0","0",NA,NA,"RSC Anderlecht","Aug","4",2019
"2",2019-08-04,NA,"Royal Antwerp FC","4","1",NA,NA,"Waasland-Beveren","Aug","4",2019
"3",2019-08-09,NA,"RSC Anderlecht","0","0",NA,NA,"KV Mechelen","Aug","9",2019
"3",2019-08-10,NA,"Club Brugge","0","2",NA,NA,"KV Oostende","Aug","10",2019
"3",2019-08-10,NA,"KAS Eupen","1","1",NA,NA,"Waasland-Beveren","Aug","10",2019
"3",2019-08-10,NA,"KRC Genk","0","2",NA,NA,"SV Zulte Waregem","Aug","10",2019
"3",2019-08-10,NA,"Cercle Brugge","1","3",NA,NA,"KV Kortrijk","Aug","10",2019
"3",2019-08-11,NA,"Sint-Truidense VV","2","1",NA,NA,"Standard Liège","Aug","11",2019
"3",2019-08-11,NA,"Sporting Charleroi","2","1",NA,NA,"Royal Antwerp FC","Aug","11",2019
"3",2019-08-11,NA,"Royal Excel Mouscron","2","1",NA,NA,"KAA Gent","Aug","11",2019
"4",2019-08-16,NA,"KAS Eupen","0","0",NA,NA,"Club Brugge","Aug","16",2019
"4",2019-08-17,NA,"RSC Anderlecht","4","2",NA,NA,"KV Kortrijk","Aug","17",2019
"4",2019-08-17,NA,"Cercle Brugge","3","1",NA,NA,"KV Mechelen","Aug","17",2019
"4",2019-08-17,NA,"KRC Genk","0","4",NA,NA,"Waasland-Beveren","Aug","17",2019
"4",2019-08-18,NA,"Standard Liège","4","1",NA,NA,"Royal Excel Mouscron","Aug","18",2019
"4",2019-08-18,NA,"KAA Gent","2","0",NA,NA,"KV Oostende","Aug","18",2019
"4",2019-08-18,NA,"Royal Antwerp FC","2","0",NA,NA,"Sint-Truidense VV","Aug","18",2019
"4",2019-08-19,NA,"SV Zulte Waregem","3","1",NA,NA,"Sporting Charleroi","Aug","19",2019
"5",2019-08-23,NA,"KRC Genk","1","0",NA,NA,"RSC Anderlecht","Aug","23",2019
"5",2019-08-24,NA,"Cercle Brugge","1","0",NA,NA,"Waasland-Beveren","Aug","24",2019
"5",2019-08-24,NA,"KV Mechelen","2","1",NA,NA,"KV Oostende","Aug","24",2019
"5",2019-08-24,NA,"Sint-Truidense VV","0","0",NA,NA,"SV Zulte Waregem","Aug","24",2019
"5",2019-08-25,NA,"Royal Excel Mouscron","2","0",NA,NA,"KAS Eupen","Aug","25",2019
"5",2019-08-25,NA,"Standard Liège","2","1",NA,NA,"KV Kortrijk","Aug","25",2019
"6",2019-08-30,NA,"Royal Excel Mouscron","2","2",NA,NA,"KV Mechelen","Aug","30",2019
"6",2019-08-31,NA,"Sporting Charleroi","0","4",NA,NA,"Waasland-Beveren","Aug","31",2019
"6",2019-08-31,NA,"KV Oostende","2","2",NA,NA,"KV Kortrijk","Aug","31",2019
"6",2019-08-31,NA,"KAS Eupen","0","2",NA,NA,"Sint-Truidense VV","Aug","31",2019
"6",2019-09-01,NA,"SV Zulte Waregem","2","0",NA,NA,"Royal Antwerp FC","Sep","1",2019
"6",2019-09-01,NA,"KAA Gent","3","2",NA,NA,"Cercle Brugge","Sep","1",2019
"6",2019-09-01,NA,"RSC Anderlecht","1","0",NA,NA,"Standard Liège","Sep","1",2019
"6",2019-09-01,NA,"KRC Genk","1","1",NA,NA,"Club Brugge","Sep","1",2019
"7",2019-09-13,NA,"Sporting Charleroi","2","1",NA,NA,"KRC Genk","Sep","13",2019
"7",2019-09-14,NA,"Cercle Brugge","0","2",NA,NA,"Club Brugge","Sep","14",2019
"7",2019-09-14,NA,"Sint-Truidense VV","1","1",NA,NA,"Waasland-Beveren","Sep","14",2019
"7",2019-09-14,NA,"Standard Liège","1","4",NA,NA,"KV Oostende","Sep","14",2019
"7",2019-09-14,NA,"KAS Eupen","1","1",NA,NA,"SV Zulte Waregem","Sep","14",2019
"7",2019-09-15,NA,"KAA Gent","3","0",NA,NA,"KV Mechelen","Sep","15",2019
"7",2019-09-15,NA,"Royal Excel Mouscron","2","0",NA,NA,"KV Kortrijk","Sep","15",2019
